"date","area_name","new_cases","total_cases"
2020-01-30,"London",0,0
2020-01-31,"London",0,0
2020-02-01,"London",0,0
2020-02-02,"London",0,0
2020-02-03,"London",0,0
2020-02-04,"London",0,0
2020-02-05,"London",0,0
2020-02-06,"London",0,0
2020-02-07,"London",0,0
2020-02-08,"London",0,0
2020-02-09,"London",0,0
2020-02-10,"London",0,0
2020-02-11,"London",1,1
2020-02-12,"London",0,1
2020-02-13,"London",1,2
2020-02-14,"London",0,2
2020-02-15,"London",0,2
2020-02-16,"London",0,2
2020-02-17,"London",1,3
2020-02-18,"London",0,3
2020-02-19,"London",1,4
2020-02-20,"London",0,4
2020-02-21,"London",0,4
2020-02-22,"London",0,4
2020-02-23,"London",2,6
2020-02-24,"London",0,6
2020-02-25,"London",2,8
2020-02-26,"London",0,8
2020-02-27,"London",1,9
2020-02-28,"London",5,14
2020-02-29,"London",1,15
2020-03-01,"London",8,23
2020-03-02,"London",12,35
2020-03-03,"London",6,41
2020-03-04,"London",18,59
2020-03-05,"London",14,73
2020-03-06,"London",23,96
2020-03-07,"London",14,110
2020-03-08,"London",22,132
2020-03-09,"London",53,185
2020-03-10,"London",91,276
2020-03-11,"London",183,459
2020-03-12,"London",165,624
2020-03-13,"London",136,760
2020-03-14,"London",149,909
2020-03-15,"London",165,1074
2020-03-16,"London",234,1308
2020-03-17,"London",310,1618
2020-03-18,"London",356,1974
2020-03-19,"London",333,2307
2020-03-20,"London",426,2733
2020-03-21,"London",350,3083
2020-03-22,"London",435,3518
2020-03-23,"London",687,4205
2020-03-24,"London",636,4841
2020-03-25,"London",756,5597
2020-03-26,"London",763,6360
2020-03-27,"London",818,7178
2020-03-28,"London",577,7755
2020-03-29,"London",593,8348
2020-03-30,"London",845,9193
2020-03-31,"London",915,10108
2020-04-01,"London",963,11071
2020-04-02,"London",1024,12095
2020-04-03,"London",936,13031
2020-04-04,"London",717,13748
2020-04-05,"London",604,14352
2020-04-06,"London",837,15189
2020-04-07,"London",904,16093
2020-04-08,"London",832,16925
2020-04-09,"London",771,17696
2020-04-10,"London",573,18269
2020-04-11,"London",492,18761
2020-04-12,"London",414,19175
2020-04-13,"London",565,19740
2020-04-14,"London",556,20296
2020-04-15,"London",554,20850
2020-04-16,"London",490,21340
2020-04-17,"London",425,21765
2020-04-18,"London",306,22071
2020-04-19,"London",246,22317
2020-04-20,"London",378,22695
2020-04-21,"London",341,23036
2020-04-22,"London",276,23312
2020-04-23,"London",319,23631
2020-04-24,"London",247,23878
2020-04-25,"London",160,24038
2020-04-26,"London",91,24129
2020-04-27,"London",189,24318
2020-04-28,"London",180,24498
2020-04-29,"London",250,24748
2020-04-30,"London",255,25003
2020-05-01,"London",196,25199
2020-05-02,"London",127,25326
2020-05-03,"London",65,25391
2020-05-04,"London",150,25541
2020-05-05,"London",134,25675
2020-05-06,"London",143,25818
2020-05-07,"London",143,25961
2020-05-08,"London",94,26055
2020-05-09,"London",60,26115
2020-05-10,"London",36,26151
2020-05-11,"London",69,26220
2020-05-12,"London",75,26295
2020-05-13,"London",85,26380
2020-05-14,"London",86,26466
2020-05-15,"London",58,26524
2020-05-16,"London",23,26547
2020-05-17,"London",33,26580
2020-05-18,"London",54,26634
2020-05-19,"London",48,26682
2020-05-20,"London",58,26740
2020-05-21,"London",49,26789
2020-05-22,"London",40,26829
2020-05-23,"London",10,26839
2020-05-24,"London",18,26857
2020-05-25,"London",20,26877
2020-05-26,"London",28,26905
2020-05-27,"London",37,26942
2020-05-28,"London",35,26977
2020-05-29,"London",33,27010
2020-05-30,"London",17,27027
2020-05-31,"London",15,27042
2020-06-01,"London",20,27062
2020-06-02,"London",19,27081
2020-06-03,"London",40,27121
2020-06-04,"London",12,27133
2020-06-05,"London",6,27139
2020-06-06,"London",0,27139
2020-01-30,"Rest of England",1,1
2020-01-31,"Rest of England",1,2
2020-02-01,"Rest of England",0,2
2020-02-02,"Rest of England",0,2
2020-02-03,"Rest of England",6,8
2020-02-04,"Rest of England",0,8
2020-02-05,"Rest of England",1,9
2020-02-06,"Rest of England",0,9
2020-02-07,"Rest of England",0,9
2020-02-08,"Rest of England",3,12
2020-02-09,"Rest of England",1,13
2020-02-10,"Rest of England",0,13
2020-02-11,"Rest of England",0,13
2020-02-12,"Rest of England",1,14
2020-02-13,"Rest of England",0,14
2020-02-14,"Rest of England",1,15
2020-02-15,"Rest of England",0,15
2020-02-16,"Rest of England",0,15
2020-02-17,"Rest of England",0,15
2020-02-18,"Rest of England",0,15
2020-02-19,"Rest of England",0,15
2020-02-20,"Rest of England",0,15
2020-02-21,"Rest of England",1,16
2020-02-22,"Rest of England",0,16
2020-02-23,"Rest of England",2,18
2020-02-24,"Rest of England",1,19
2020-02-25,"Rest of England",2,21
2020-02-26,"Rest of England",3,24
2020-02-27,"Rest of England",5,29
2020-02-28,"Rest of England",7,36
2020-02-29,"Rest of England",3,39
